km_driven,mileage,engine,max_power,age,make,Individual,Vehical_type,fuel_type,seat
60000,14.49,1399.0,92.7,13.0,CHEVROLET,1,1,4,5
35000,19.44,1198.0,67.0,8.0,DATSUN,1,1,4,7
48000,19.87,1461.0,83.8,8.0,RENAULT,1,1,1,5
18000,18.7,1199.0,88.7,5.0,HONDA,1,1,4,5
57413,14.4,998.0,61.7,11.0,MARUTI,1,1,3,5
30000,18.6,1197.0,81.83,8.0,HYUNDAI,1,1,4,5
55000,23.9,1582.0,126.2,8.0,HYUNDAI,0,1,1,5
120000,18.2,1199.0,82.4,8.0,CHEVROLET,1,1,4,5
165000,13.5,2477.0,175.56,11.0,MITSUBISHI,1,1,1,7
10000,21.21,1197.0,81.8,5.0,MARUTI,1,0,4,5
120000,18.0,1248.0,75.0,13.0,TATA,1,1,1,5
68000,22.69,1995.0,190.0,7.0,BMW,0,0,1,5
55000,25.44,936.0,56.3,8.0,CHEVROLET,0,1,1,5
8000,16.8,1497.0,113.4,3.0,KIA,0,1,4,5
80000,14.53,1798.0,138.1,11.0,TOYOTA,0,1,4,5
65000,28.4,1248.0,74.0,8.0,MARUTI,0,1,1,5
47000,21.1,1197.0,85.8,13.0,MARUTI,1,1,4,5
185000,25.1,1248.0,88.5,5.0,MARUTI,1,1,1,5
68000,13.01,2199.0,194.3,9.0,HYUNDAI,0,0,1,7
25000,18.9,1197.0,82.0,7.0,HYUNDAI,1,1,4,5
280000,15.3,2956.0,83.83,9.0,TATA,1,1,1,7
7791,25.1,1248.0,88.5,5.0,MARUTI,1,1,1,5
70000,20.73,1373.0,91.1,8.0,MARUTI,1,1,4,5
9500,23.84,1199.0,84.0,7.0,TATA,1,1,4,5
9100,17.01,1591.0,121.3,8.0,HYUNDAI,1,1,4,5
82000,12.8,2354.0,177.6,13.0,HONDA,0,1,4,5
86000,17.0,1497.0,118.0,13.0,HONDA,0,1,4,5
19000,17.01,1968.0,188.0,3.0,AUDI,0,0,1,5
78000,16.55,1968.0,147.51,10.0,AUDI,0,0,1,5
60000,20.0,1399.0,68.0,12.0,FORD,1,1,1,5
7883,21.5,1197.0,81.8,4.0,MARUTI,0,0,4,5
50205,23.4,1248.0,74.0,10.0,MARUTI,0,1,1,5
220000,13.6,2523.0,63.0,15.0,MAHINDRA,1,1,1,7
